,Name,Longitude,Latitude,Sector,State,Highest degree offered,Total_enrollment,Fulltime_enrollment,Parttime_enrollment
1,Alabama A & M University,-86.568502,34.783368,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship,5020,4439,581
2,University of Alabama at Birmingham,-86.80917,33.50223,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,18568,11961,6607
3,Amridge University,-86.17401,32.362609,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,631,323,308
4,University of Alabama in Huntsville,-86.63842,34.722818,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,7376,4802,2574
5,Alabama State University,-86.295677,32.364317,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,6075,5182,893
6,The University of Alabama,-87.545766,33.2144,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,34752,29498,5254
7,Athens State University,-86.96514,34.805625,"Public, 4-year or above",Alabama,Bachelor's degree,3170,1350,1820
8,Auburn University at Montgomery,-86.177351,32.369939,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship,5084,3223,1861
9,Auburn University,-85.492409,32.600201,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,24864,21093,3771
10,Birmingham Southern College,-86.853636,33.515453,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,1188,1167,21
11,Concordia College Alabama,-87.023531,32.42443,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,600,543,57
12,Faulkner University,-86.21641,32.384181,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree -  professional practice,3193,2321,872
13,Huntingdon College,-86.285313,32.350939,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,1110,902,208
14,Jacksonville State University,-85.766644,33.822128,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship,8693,5982,2711
15,Judson College,-87.316127,32.630526,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,347,262,85
16,University of West Alabama,-88.186077,32.59244,"Public, 4-year or above",Alabama,Master's degree,4427,3890,537
17,Miles College,-86.908605,33.481306,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,1666,1577,89
18,University of Mobile,-88.128934,30.793247,"Private not-for-profit, 4-year or above",Alabama,Master's degree,1610,1288,322
19,University of Montevallo,-86.865099,33.10625,"Public, 4-year or above",Alabama,Master's degree,3062,2526,536
20,University of North Alabama,-87.680999,34.80658,"Public, 4-year or above",Alabama,Master's degree,6931,5133,1798
21,Oakwood University,-86.661628,34.756628,"Private not-for-profit, 4-year or above",Alabama,Master's degree,1903,1810,93
22,Samford University,-86.790932,33.464578,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,4833,4361,472
23,University of South Alabama,-88.18189,30.695081,"Public, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,15065,12028,3037
24,Spring Hill College,-88.138199,30.694751,"Private not-for-profit, 4-year or above",Alabama,Master's degree,1422,1210,212
25,Stillman College,-87.585242,33.199228,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,863,808,55
26,Talladega College,-86.113675,33.434258,"Private not-for-profit, 4-year or above",Alabama,Bachelor's degree,932,849,83
27,Troy University,-85.950191,31.800128,"Public, 4-year or above",Alabama,Doctor's degree -  professional practice,20573,10334,10239
28,Tuskegee University,-85.710315,32.431021,"Private not-for-profit, 4-year or above",Alabama,Doctor's degree - research/scholarship and professional practice,3118,2954,164
29,University of Alaska Anchorage,-149.826135,61.189554,"Public, 4-year or above",Alaska,Doctor's degree - research/scholarship,17363,7904,9459
30,University of Alaska Fairbanks,-147.824751,64.857053,"Public, 4-year or above",Alaska,Doctor's degree - research/scholarship,9166,4283,4883
